model,set,prob,accuracy
uma-60,sd_mul,7*8,0.65
uma-60,sd_mul,7*9,0.36666666666666664
uma-60,sd_mul,8*2,0.8666666666666667
uma-60,sd_mul,8*3,0.7833333333333333
uma-60,sd_mul,8*4,0.65
uma-60,sd_mul,8*5,0.6166666666666667
uma-60,sd_mul,8*6,0.6
uma-60,sd_mul,8*7,0.5666666666666667
uma-60,sd_mul,8*8,0.3
uma-60,sd_mul,8*9,0.36666666666666664
uma-60,sd_mul,9*2,0.7333333333333333
uma-60,sd_mul,9*3,0.6666666666666666
uma-60,sd_mul,9*4,0.6
uma-60,sd_mul,9*5,0.36666666666666664
uma-60,sd_mul,9*6,0.45
uma-60,sd_mul,9*7,0.36666666666666664
uma-60,sd_mul,9*8,0.35
uma-60,sd_mul,9*9,0.1
uma-1000,sd_add,1+1,0.987
uma-1000,sd_add,1+2,0.992
uma-1000,sd_add,1+3,0.993
uma-1000,sd_add,1+4,0.981
uma-1000,sd_add,1+5,0.99
uma-1000,sd_add,1+6,0.989
uma-1000,sd_add,1+7,0.989
uma-1000,sd_add,1+8,0.993
uma-1000,sd_add,1+9,0.984
uma-1000,sd_add,2+1,0.99
uma-1000,sd_add,2+2,0.97
uma-1000,sd_add,2+3,0.972
uma-1000,sd_add,2+4,0.981
uma-1000,sd_add,2+5,0.988
uma-1000,sd_add,2+6,0.983
uma-1000,sd_add,2+7,0.988
uma-1000,sd_add,2+8,0.981
uma-1000,sd_add,2+9,0.989
uma-1000,sd_add,3+1,0.998
uma-1000,sd_add,3+2,0.98
uma-1000,sd_add,3+3,0.975
uma-1000,sd_add,3+4,0.984
uma-1000,sd_add,3+5,0.986
uma-1000,sd_add,3+6,0.976
uma-1000,sd_add,3+7,0.98
uma-1000,sd_add,3+8,0.969
uma-1000,sd_add,3+9,0.988
uma-1000,sd_add,4+1,0.99
uma-1000,sd_add,4+2,0.986
uma-1000,sd_add,4+3,0.983
uma-1000,sd_add,4+4,0.973
uma-1000,sd_add,4+5,0.983
uma-1000,sd_add,4+6,0.983
uma-1000,sd_add,4+7,0.977
uma-1000,sd_add,4+8,0.981
uma-1000,sd_add,4+9,0.975
uma-1000,sd_add,5+1,0.987
uma-1000,sd_add,5+2,0.981
uma-1000,sd_add,5+3,0.985
uma-1000,sd_add,5+4,0.976
uma-1000,sd_add,5+5,0.967
uma-1000,sd_add,5+6,0.98
uma-1000,sd_add,5+7,0.985
uma-1000,sd_add,5+8,0.976
uma-1000,sd_add,5+9,0.97
uma-1000,sd_add,6+1,0.988
uma-1000,sd_add,6+2,0.979
uma-1000,sd_add,6+3,0.982
uma-1000,sd_add,6+4,0.98
uma-1000,sd_add,6+5,0.989
uma-1000,sd_add,6+6,0.972
uma-1000,sd_add,6+7,0.979
uma-1000,sd_add,6+8,0.986
uma-1000,sd_add,6+9,0.946
uma-1000,sd_add,7+1,0.992
uma-1000,sd_add,7+2,0.984
uma-1000,sd_add,7+3,0.979
uma-1000,sd_add,7+4,0.983
uma-1000,sd_add,7+5,0.978
uma-1000,sd_add,7+6,0.981
uma-1000,sd_add,7+7,0.97
uma-1000,sd_add,7+8,0.984
uma-1000,sd_add,7+9,0.974
uma-1000,sd_add,8+1,0.986
uma-1000,sd_add,8+2,0.986
uma-1000,sd_add,8+3,0.977
uma-1000,sd_add,8+4,0.983
uma-1000,sd_add,8+5,0.981
uma-1000,sd_add,8+6,0.982
uma-1000,sd_add,8+7,0.982
uma-1000,sd_add,8+8,0.975
uma-1000,sd_add,8+9,0.971
uma-1000,sd_add,9+1,0.995
uma-1000,sd_add,9+2,0.988
uma-1000,sd_add,9+3,0.996
uma-1000,sd_add,9+4,0.971
uma-1000,sd_add,9+5,0.971
uma-1000,sd_add,9+6,0.95
uma-1000,sd_add,9+7,0.969
uma-1000,sd_add,9+8,0.975
uma-1000,sd_add,9+9,0.961
uma-1000,sd_mul,2*2,0.974
uma-1000,sd_mul,2*3,0.975
uma-1000,sd_mul,2*4,0.986
uma-1000,sd_mul,2*5,0.973
uma-1000,sd_mul,2*6,0.974
uma-1000,sd_mul,2*7,0.97
uma-1000,sd_mul,2*8,0.975
uma-1000,sd_mul,2*9,0.963
uma-1000,sd_mul,3*2,0.983
uma-1000,sd_mul,3*3,0.945
uma-1000,sd_mul,3*4,0.969
uma-1000,sd_mul,3*5,0.941
uma-1000,sd_mul,3*6,0.966
uma-1000,sd_mul,3*7,0.965
uma-1000,sd_mul,3*8,0.971
uma-1000,sd_mul,3*9,0.948
uma-1000,sd_mul,4*2,0.984
uma-1000,sd_mul,4*3,0.967
uma-1000,sd_mul,4*4,0.923
uma-1000,sd_mul,4*5,0.934
uma-1000,sd_mul,4*6,0.956
uma-1000,sd_mul,4*7,0.948
uma-1000,sd_mul,4*8,0.955
uma-1000,sd_mul,4*9,0.924
uma-1000,sd_mul,5*2,0.976
uma-1000,sd_mul,5*3,0.94
uma-1000,sd_mul,5*4,0.935
uma-1000,sd_mul,5*5,0.896
uma-1000,sd_mul,5*6,0.943
uma-1000,sd_mul,5*7,0.945
uma-1000,sd_mul,5*8,0.946
uma-1000,sd_mul,5*9,0.897
uma-1000,sd_mul,6*2,0.977
uma-1000,sd_mul,6*3,0.961
uma-1000,sd_mul,6*4,0.954
uma-1000,sd_mul,6*5,0.948
uma-1000,sd_mul,6*6,0.891
uma-1000,sd_mul,6*7,0.943
uma-1000,sd_mul,6*8,0.943
uma-1000,sd_mul,6*9,0.92
uma-1000,sd_mul,7*2,0.97
uma-1000,sd_mul,7*3,0.961
uma-1000,sd_mul,7*4,0.949
uma-1000,sd_mul,7*5,0.942
uma-1000,sd_mul,7*6,0.945
uma-1000,sd_mul,7*7,0.893
uma-1000,sd_mul,7*8,0.94
uma-1000,sd_mul,7*9,0.899
uma-1000,sd_mul,8*2,0.974
uma-1000,sd_mul,8*3,0.969
uma-1000,sd_mul,8*4,0.957
uma-1000,sd_mul,8*5,0.949
uma-1000,sd_mul,8*6,0.949
uma-1000,sd_mul,8*7,0.937
uma-1000,sd_mul,8*8,0.887
uma-1000,sd_mul,8*9,0.905
uma-1000,sd_mul,9*2,0.961
uma-1000,sd_mul,9*3,0.948
uma-1000,sd_mul,9*4,0.926
uma-1000,sd_mul,9*5,0.905
uma-1000,sd_mul,9*6,0.91
uma-1000,sd_mul,9*7,0.897
uma-1000,sd_mul,9*8,0.904
uma-1000,sd_mul,9*9,0.849
